ID,Label,Type
work_832,"Augustine, Saint, Bishop of Hippo: Confessions [Latin]",theology
work_832,"Augustine, Saint, Bishop of Hippo: Confessions [Latin]",theology
work_832,"Augustine, Saint, Bishop of Hippo: Confessions [Latin]",theology
work_832,"Augustine, Saint, Bishop of Hippo: Confessions [Latin]",theology
work_832,"Augustine, Saint, Bishop of Hippo: Confessions [Latin]",theology
work_832,"Augustine, Saint, Bishop of Hippo: Confessions [Latin]",theology
work_832,"Augustine, Saint, Bishop of Hippo: Confessions [Latin]",theology
work_832,"Augustine, Saint, Bishop of Hippo: Confessions [Latin]",theology
work_833,"Augustine, Saint, Bishop of Hippo: De Genesi contra Manichaeos [Latin]",theology
work_833,"Augustine, Saint, Bishop of Hippo: De Genesi contra Manichaeos [Latin]",theology
work_833,"Augustine, Saint, Bishop of Hippo: De Genesi contra Manichaeos [Latin]",theology
work_833,"Augustine, Saint, Bishop of Hippo: De Genesi contra Manichaeos [Latin]",theology
work_833,"Augustine, Saint, Bishop of Hippo: De Genesi contra Manichaeos [Latin]",theology
work_833,"Augustine, Saint, Bishop of Hippo: De Genesi contra Manichaeos [Latin]",theology
work_834,"Augustine, Saint, Bishop of Hippo: De peccatorum meritis [Latin]",theology
work_834,"Augustine, Saint, Bishop of Hippo: De peccatorum meritis [Latin]",theology
work_834,"Augustine, Saint, Bishop of Hippo: De peccatorum meritis [Latin]",theology
work_834,"Augustine, Saint, Bishop of Hippo: De peccatorum meritis [Latin]",theology
work_835,"Augustine, Saint, Bishop of Hippo: De spiritu et littera [Latin]",theology
work_835,"Augustine, Saint, Bishop of Hippo: De spiritu et littera [Latin]",theology
work_835,"Augustine, Saint, Bishop of Hippo: De spiritu et littera [Latin]",theology
work_835,"Augustine, Saint, Bishop of Hippo: De spiritu et littera [Latin]",theology
work_835,"Augustine, Saint, Bishop of Hippo: De spiritu et littera [Latin]",theology
work_836,"Dati, Agostino, 1420–1478: Isagogicus (elegantiolae) [Latin]",philosophy
work_836,"Dati, Agostino, 1420–1478: Isagogicus (elegantiolae) [Latin]",philosophy
work_837,"Augustinus Hibernicus, ca. 665: De mirabilibus sacrae scripturae [Latin]",bible
work_837,"Augustinus Hibernicus, ca. 665: De mirabilibus sacrae scripturae [Latin]",bible
work_837,"Augustinus Hibernicus, ca. 665: De mirabilibus sacrae scripturae [Latin]",bible
work_837,"Augustinus Hibernicus, ca. 665: De mirabilibus sacrae scripturae [Latin]",bible
work_837,"Augustinus Hibernicus, ca. 665: De mirabilibus sacrae scripturae [Latin]",bible
work_837,"Augustinus Hibernicus, ca. 665: De mirabilibus sacrae scripturae [Latin]",bible
work_837,"Augustinus Hibernicus, ca. 665: De mirabilibus sacrae scripturae [Latin]",bible
work_837,"Augustinus Hibernicus, ca. 665: De mirabilibus sacrae scripturae [Latin]",bible
work_837,"Augustinus Hibernicus, ca. 665: De mirabilibus sacrae scripturae [Latin]",bible
work_837,"Augustinus Hibernicus, ca. 665: De mirabilibus sacrae scripturae [Latin]",bible
work_837,"Augustinus Hibernicus, ca. 665: De mirabilibus sacrae scripturae [Latin]",bible
work_838,"Augustinus, de Ancona, 1243–1328: Tractatus de angelica annuntiatione [Latin]",theology
work_838,"Augustinus, de Ancona, 1243–1328: Tractatus de angelica annuntiatione [Latin]",theology
work_839,"Augustinus de Urbino, 14th cent.: Tractatus de bello siue pugna spirituali [Latin]",christian_literature
work_84,"Aristides, Aelius, 117–187: In Alexandrum, or. 32 k [Greek]",classical_literature
work_840,"Gellius, Aulus: Noctes atticae [Latin]",classical_literature
work_840,"Gellius, Aulus: Noctes atticae [Latin]",classical_literature
work_840,"Gellius, Aulus: Noctes atticae [Latin]",classical_literature
work_840,"Gellius, Aulus: Noctes atticae [Latin]",classical_literature
work_841,"Aurelius Trebanius, 15th cent.: Poems [Latin]",literature
work_842,"Victor, Sextus Aurelius: De caesaribus [Latin]",history
work_843,"Ausonius, Decimus Magnus: Epigr. iii (x) [Latin]",literature
work_844,Autolycus: On the moving sphere [Greek],natural_history
work_845,"Avendauth, 13th cent.: De universalibus [Latin]",philosophy
work_846,"Averroës, 1126–1198: Colliget [Latin]",philosophy
work_846,"Averroës, 1126–1198: Colliget [Latin]",philosophy
work_846,"Averroës, 1126–1198: Colliget [Latin]",philosophy
work_847,"Averroës, 1126–1198: Commentary on Aristotle, Metaphysics (tr. Michael Scot) [Latin]",philosophy
work_847,"Averroës, 1126–1198: Commentary on Aristotle, Metaphysics (tr. Michael Scot) [Latin]",philosophy
work_848,"Averroës, 1126–1198: Commentarium magnum on Aristotle, De caelo et mundo (tr. Michael Scot) [Latin]",philosophy
work_849,"Averroës, 1126–1198: Commentary on Aristotle, Parua naturalia [Latin]",philosophy
work_849,"Averroës, 1126–1198: Commentary on Aristotle, Parua naturalia [Latin]",philosophy
work_849,"Averroës, 1126–1198: Commentary on Aristotle, Parua naturalia [Latin]",philosophy
work_849,"Averroës, 1126–1198: Commentary on Aristotle, Parua naturalia [Latin]",philosophy
work_849,"Averroës, 1126–1198: Commentary on Aristotle, Parua naturalia [Latin]",philosophy
work_849,"Averroës, 1126–1198: Commentary on Aristotle, Parua naturalia [Latin]",philosophy
work_85,"Aristides, Aelius, 117–187: In Eteoneum Epicedium, or. 31 k [Greek]",classical_literature
work_850,"Averroës, 1126–1198: De intellectu [Latin]",philosophy
work_851,"Averroës, 1126–1198: De substantia orbis [Latin]",philosophy
work_851,"Averroës, 1126–1198: De substantia orbis [Latin]",philosophy
work_851,"Averroës, 1126–1198: De substantia orbis [Latin]",philosophy
work_852,"Averroës, 1126–1198: De venenis [Latin]",philosophy
work_852,"Averroës, 1126–1198: De venenis [Latin]",philosophy
work_853,"Averroës, 1126–1198: Works [Latin]",philosophy
