Source,Target,Type,Label
person_1179,person_1252,Undirected,MS_Lat_misc_e_108
person_1179,person_897,Undirected,MS_Lat_misc_e_108
person_1179,person_771,Undirected,MS_Lat_misc_e_108
person_1179,person_516,Undirected,MS_Lat_misc_e_108
person_1182,person_695,Undirected,MS_Lat_bib_c_9
person_1182,person_1025,Undirected,MS_Lat_bib_c_9
person_1182,person_282,Undirected,MS_Lat_bib_c_9
person_1190,person_1016,Undirected,MS_Lat_misc_e_118
person_1193,person_8145335,Undirected,MS_Holkham_misc_22
person_1198,person_69848690,Undirected,MS_Douce_240
person_11989189,person_1265,Undirected,MS_Lat_misc_c_55
person_11989189,person_213,Undirected,MS_Lat_misc_c_55
person_11989189,person_980,Undirected,MS_Lat_misc_c_55
person_1200,person_854,Undirected,MS_Don_e_120
person_1200,person_294,Undirected,MS_Don_e_120
person_1200,person_1201,Undirected,MS_Don_e_120
person_1200,person_855,Undirected,MS_Don_e_120
person_1200,person_54,Undirected,MS_Don_e_120
person_1200,person_558,Undirected,MS_Don_e_120
person_1200,person_190,Undirected,MS_Don_e_120
person_1200,person_287,Undirected,MS_Don_e_120
person_1200,person_491,Undirected,MS_Don_e_120
person_1200,person_919,Undirected,MS_Don_e_120
person_1200,person_801,Undirected,MS_Don_e_120
person_1200,person_191,Undirected,MS_Don_e_120
person_1200,person_16,Undirected,MS_Don_e_120
person_1203,person_47563478,Undirected,MS_Rawl_D_3
person_1203,person_47563478,Undirected,MS_Rawl_G_51
person_1203,person_47563478,Undirected,MS_Bodl_189
person_1203,person_47563478,Undirected,MS_Rawl_D_403
person_1203,person_47563478,Undirected,MS_Rawl_G_58
person_1203,person_47563478,Undirected,MS_Rawl_G_155
person_1203,person_47563478,Undirected,MS_Rawl_C_257
person_1203,person_47563478,Undirected,MS_Rawl_G_128
person_1203,person_47563478,Undirected,MS_Rawl_G_115
person_1203,person_47563478,Undirected,MS_Rawl_G_35
person_1203,person_47563478,Undirected,MS_Rawl_G_32
person_1203,person_47563478,Undirected,MS_Rawl_G_33
person_1203,person_47563478,Undirected,MS_Rawl_G_34
person_1203,person_47563478,Undirected,MS_Rawl_G_40
person_1203,person_47563478,Undirected,MS_Rawl_G_41
person_1203,person_47563478,Undirected,MS_Rawl_G_23
person_1203,person_47563478,Undirected,MS_Rawl_G_137
person_1203,person_47563478,Undirected,MS_Rawl_A_411
person_1203,person_47563478,Undirected,MS_Rawl_G_39
person_1203,person_47563478,Undirected,MS_Rawl_G_43
person_1203,person_47563478,Undirected,MS_Rawl_G_52
person_1203,person_47563478,Undirected,MS_Rawl_G_133
person_1203,person_47563478,Undirected,MS_Rawl_G_53
person_1203,person_47563478,Undirected,MS_Rawl_C_258
person_1203,person_47563478,Undirected,MS_Rawl_G_163
person_1203,person_47563478,Undirected,MS_Rawl_C_301
person_1203,person_47563478,Undirected,MS_Rawl_C_533
person_1203,person_47563478,Undirected,MS_Rawl_C_883
person_1203,person_47563478,Undirected,MS_Rawl_G_30
person_1203,person_29543710,Undirected,MS_Rawl_G_186
person_1203,person_47563478,Undirected,MS_Rawl_G_187
person_1203,person_56951183,Undirected,MS_Douce_265
person_1203,person_69848690,Undirected,MS_Douce_265
person_1203,person_41944166,Undirected,MS_Douce_265
person_1203,person_47563478,Undirected,MS_Rawl_G_144
person_1203,person_47563478,Undirected,MS_Rawl_G_186
person_1203,person_90543170,Undirected,MS_Douce_265
person_1203,person_29543710,Undirected,MS_Rawl_G_187
person_121097216,person_194,Undirected,MS_Lat_liturg_g_2
person_121287180,person_14803186,Undirected,MS_Wood_empt_6
person_121287180,person_41970552,Undirected,MS_Gough_Liturg_18
person_121287180,person_14803186,Undirected,MS_Wood_empt_3
person_12179247,person_69848690,Undirected,MS_Douce_71
person_12179247,person_3982,Undirected,MS_Douce_71
person_1219,person_76597685,Undirected,MS_Auct_T_1_23
person_1219,person_12545856,Undirected,MS_Auct_T_1_23
person_1219,person_27,Undirected,MS_Auct_T_1_23
person_1219,person_1069,Undirected,MS_Auct_T_1_23
person_1221,person_805,Undirected,MS_Lat_th_e_37
person_1221,person_583,Undirected,MS_Lat_th_e_37
person_1221,person_255,Undirected,MS_Lat_th_e_37
person_1221,person_1250,Undirected,MS_Lat_th_e_37
person_1221,person_1147,Undirected,MS_Lat_th_e_37
person_1222,person_100180276,Undirected,MS_Lat_bib_d_9
person_122252078,person_70543315,Undirected,MS_Holkham_Gr_71
person_122252078,person_44367442,Undirected,MS_Holkham_Gr_71
person_12234890,person_140,Undirected,MS_Bywater_35
person_12234890,person_76391283,Undirected,MS_Bywater_35
person_12314392,person_54940373,Undirected,MS_Laud_Lat_118
person_12314392,person_54940373,Undirected,MS_Laud_Misc_449
person_12314392,person_54940373,Undirected,MS_Laud_Misc_560
person_12314392,person_54940373,Undirected,MS_Laud_Misc_445
person_1232,person_112588309,Undirected,MS_Lat_misc_d_85
person_1232,person_45105738,Undirected,MS_Lat_misc_d_85
person_1232,person_711,Undirected,MS_Lat_misc_d_85
person_1234,person_73979081,Undirected,MS_Lat_misc_e_77
person_1236,person_11255508,Undirected,MS_Eng_th_c_57
person_12411440,person_44194610,Undirected,MS_Douce_36
person_12411440,person_69848690,Undirected,MS_Douce_36
person_12411440,person_56951183,Undirected,MS_Douce_36
person_12420076,person_69848690,Undirected,MS_Douce_112
person_12420076,person_2852,Undirected,MS_Douce_112
person_1243,person_47563478,Undirected,MS_Rawl_D_328
person_1243,person_5051,Undirected,MS_Rawl_D_328
person_1243,person_29543710,Undirected,MS_Rawl_D_328
person_1248,person_2601732,Undirected,MS_Lat_liturg_e_47
person_12523608,person_1318653,Undirected,MS_Eng_hist_e_29
person_12523608,person_375,Undirected,MS_Eng_hist_e_29
person_1255,person_46998533,Undirected,MS_Lat_liturg_f_21
person_1255,person_532,Undirected,MS_Lat_liturg_f_21
person_1259,person_111104108,Undirected,MS_Lat_th_d_29
person_1259,person_40764209,Undirected,MS_Lat_th_d_29
person_1259,person_61575100,Undirected,MS_Lat_th_d_29
person_12651892,person_47563478,Undirected,MS_Rawl_C_157
person_12651892,person_86389711,Undirected,MS_Rawl_C_157
person_12660057,person_4997,Undirected,MS_Ital_e_2
person_1268,person_1029,Undirected,MS_Eng_hist_b_208
person_1268,person_489,Undirected,MS_Eng_hist_b_208
person_1268,person_812,Undirected,MS_Eng_hist_b_208
person_1268,person_1297,Undirected,MS_Eng_hist_b_208
person_1268,person_1214,Undirected,MS_Eng_hist_b_208
person_1268,person_1283,Undirected,MS_Eng_hist_b_208
person_1268,person_907,Undirected,MS_Eng_hist_b_208
person_1268,person_197,Undirected,MS_Eng_hist_b_208
person_1268,person_199,Undirected,MS_Eng_hist_b_208
person_1268,person_1290,Undirected,MS_Eng_hist_b_208
person_1268,person_19,Undirected,MS_Eng_hist_b_208
person_1268,person_585,Undirected,MS_Eng_hist_b_208
person_1268,person_589,Undirected,MS_Eng_hist_b_208
person_1268,person_603,Undirected,MS_Eng_hist_b_208
person_1268,person_505,Undirected,MS_Eng_hist_b_208
person_1268,person_881,Undirected,MS_Eng_hist_b_208
person_1268,person_297,Undirected,MS_Eng_hist_b_208
person_1268,person_1347,Undirected,MS_Eng_hist_b_208
person_1268,person_267,Undirected,MS_Eng_hist_b_208
person_1268,person_1289,Undirected,MS_Eng_hist_b_208
person_1268,person_13,Undirected,MS_Eng_hist_b_208
person_1268,person_360,Undirected,MS_Eng_hist_b_208
person_1278,person_1086,Undirected,MS_Lat_liturg_e_39
person_1278,person_46909597,Undirected,MS_Lat_liturg_e_39
person_1278,person_5674585,Undirected,MS_Lat_liturg_e_39
person_1282,person_15,Undirected,MS_Don_b_5
person_1282,person_1021,Undirected,MS_Don_b_5
person_1282,person_17,Undirected,MS_Don_b_5
person_1282,person_89051780,Undirected,MS_Don_b_5
person_1282,person_1119,Undirected,MS_Don_b_5
person_1282,person_719,Undirected,MS_Don_b_5
person_1282,person_1125,Undirected,MS_Don_b_5
person_1285,person_803,Undirected,MS_Eng_th_c_58
person_1285,person_673,Undirected,MS_Eng_th_c_58
person_1285,person_63873133,Undirected,MS_Eng_th_c_58
person_1285,person_39249508,Undirected,MS_Eng_th_c_58
person_1286,person_51728429,Undirected,MS_Arch_Selden_B_23
person_1288,person_722,Undirected,MS_Lat_th_d_17
person_1294,person_104499957,Undirected,MS_Lat_liturg_e_41
person_1294,person_29438200,Undirected,MS_Lat_liturg_e_41
person_1301,person_2685,Undirected,MS_Fr_e_23
person_1305,person_8145335,Undirected,MS_Holkham_misc_14
person_1305,person_41,Undirected,MS_Holkham_misc_14
person_1305,person_39728066,Undirected,MS_Holkham_misc_14
person_1309,person_196,Undirected,MS_Lat_th_f_23
person_1309,person_1327,Undirected,MS_Lat_th_f_23
person_1309,person_100180276,Undirected,MS_Lat_th_f_23
person_1309,person_173,Undirected,MS_Lat_th_f_23
person_1309,person_60459449,Undirected,MS_Lat_th_f_23
person_13101431,person_35262846,Undirected,MS_Douce_180
person_13101431,person_2854,Undirected,MS_Douce_180
person_13101431,person_69848690,Undirected,MS_Douce_180
person_1318,person_44557546,Undirected,MS_Buchanan_g_2
person_1318,person_886,Undirected,MS_Buchanan_g_2
person_1319,person_869,Undirected,MS_Fr_c_30
person_1319,person_22266810,Undirected,MS_Fr_c_30
person_1320,person_26,Undirected,MS_Holkham_misc_34
person_1320,person_8145335,Undirected,MS_Holkham_misc_34
person_1326,person_867,Undirected,MS_Lat_misc_d_54
person_1326,person_397,Undirected,MS_Lat_misc_d_54
person_1326,person_922,Undirected,MS_Lat_misc_d_54
person_1328,person_54195353,Undirected,MS_Hamilton_30
person_1328,person_382,Undirected,Dep_c_630
person_1328,person_24953683,Undirected,Dep_c_630
person_1329,person_100180276,Undirected,MS_Lat_th_c_34
person_1329,person_64157046,Undirected,MS_Lat_th_c_34
person_1329,person_518,Undirected,MS_Lat_th_c_34
person_1329,person_17394594,Undirected,MS_Lat_th_c_34
person_1330,person_743,Undirected,MS_Lat_liturg_e_48
person_1330,person_996,Undirected,MS_Lat_liturg_e_48
person_1330,person_251695875,Undirected,MS_Lat_liturg_e_48
person_1330,person_1199,Undirected,MS_Lat_liturg_e_48
person_1330,person_1205,Undirected,MS_Lat_liturg_e_48
person_1330,person_385,Undirected,MS_Lat_liturg_e_48
person_1332,person_1020,Undirected,MS_Lat_bib_d_7
person_1332,person_46810685,Undirected,MS_Lat_bib_d_7
person_1334,person_892,Undirected,MS_Lat_th_e_30
person_1341,person_531,Undirected,MS_Barocci_30
person_1341,person_1409,Undirected,MS_Barocci_30
